"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.832771655784402,0.758702354886277,6221211.0374478,0.75,"EN-1"
0.839684514788038,0.767561106394388,6367871.50564447,0.76,"EN-1"
0.846396745874245,0.776464542651593,6519180.78652734,0.77,"EN-1"
0.852697561102282,0.785189239912418,6668500.38953379,0.78,"EN-1"
0.860090084980775,0.794338442289647,6842905.81149462,0.79,"EN-1"
0.867334991482826,0.803621698914161,7020317.73479613,0.8,"EN-1"
0.874232956518162,0.812670360605925,7202845.67850685,0.81,"EN-1"
0.880717107643608,0.821439742615845,7389002.78722787,0.82,"EN-1"
0.887867898348731,0.830778855176728,7597653.68671261,0.83,"EN-1"
0.894319087319884,0.839726976183029,7807543.960389,0.84,"EN-1"
0.900900827615994,0.848775637874793,8036207.50277161,0.85,"EN-1"
0.907967306712594,0.857813128379284,8282401.11979624,0.86,"EN-1"
0.914382407650791,0.866347915456455,8547496.76753477,0.87,"EN-1"
0.920564718008336,0.874804504222709,8837649.68579735,0.88,"EN-1"
0.927689717329463,0.883875508289021,9156687.12011784,0.89,"EN-1"
0.933944573623168,0.89196344787524,9487230.96627799,0.9,"EN-1"
0.940724733762205,0.900721658697886,9850120.88819985,0.91,"EN-1"
0.946202631377094,0.909010679655034,10204033.6506342,0.92,"EN-1"
0.952050314669203,0.917389070110371,10581446.9789998,0.93,"EN-1"
0.957183312101503,0.925409982572948,10990130.7261797,0.94,"EN-1"
0.961956984412029,0.933397381473703,11412098.6415196,0.95,"EN-1"
0.96513088937097,0.939910183654319,11804572.3554995,0.96,"EN-1"
0.967882091713275,0.945473434916663,12156090.1304325,0.97,"EN-1"
0.969149634100315,0.948891818222441,12415544.3784616,0.98,"EN-1"
0.969567346411397,0.950031279324367,12541158.9188664,0.99,"EN-1"
