"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.759316396424247,0.752362603313229,37840315.6095498,0.75,"RNN"
0.769386121488041,0.762512880376431,38718791.1417405,0.76,"RNN"
0.7795015490036,0.772770343788956,39639611.4013505,0.77,"RNN"
0.78993091017126,0.783322344480714,40619357.0161086,0.78,"RNN"
0.800051687639449,0.793569899911369,41611914.6873533,0.79,"RNN"
0.810221254985463,0.803885009763866,42650572.5636932,0.8,"RNN"
0.820209754113996,0.813993853448338,43731510.7304864,0.81,"RNN"
0.830534049529478,0.824531442530102,44887552.2404354,0.82,"RNN"
0.840535544072354,0.834693429026424,46080098.5422332,0.83,"RNN"
0.850505037543666,0.844839202461503,47347920.4289798,0.84,"RNN"
0.860625872747935,0.85517592972899,48692475.7060241,0.85,"RNN"
0.870529143710156,0.865304589377202,50112681.9469473,0.86,"RNN"
0.880494641286781,0.875489994739762,51644329.3730414,0.87,"RNN"
0.890419279094789,0.885677201553572,53273447.2437985,0.88,"RNN"
0.900251391153489,0.895764427823054,55047347.2604122,0.89,"RNN"
0.910049361478169,0.905842646836291,56957772.2681157,0.9,"RNN"
0.919799603102361,0.915901950611413,59090252.8560594,0.91,"RNN"
0.929426742311842,0.925821641914726,61424236.5722414,0.92,"RNN"
0.939000802951931,0.935749439748662,64076248.7858387,0.93,"RNN"
0.948381650007453,0.945471872140196,67098783.8881313,0.94,"RNN"
0.957660370049122,0.955135757366134,70650324.5499565,0.95,"RNN"
0.966694031116906,0.964576262637181,74962900.8629722,0.96,"RNN"
0.975556887604492,0.973893368497662,80445245.4271011,0.97,"RNN"
0.983874672188064,0.982684450593398,87922460.0484018,0.98,"RNN"
0.990525200538098,0.989777664886833,98065305.3778877,0.99,"RNN"
