"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.78920284835105,0.781181224251596,28494136.0344237,0.75,"WILLEMAIN"
0.80020789358354,0.792354733255192,29204114.3490167,0.76,"WILLEMAIN"
0.810971941778784,0.803294559266458,29941163.302478,0.77,"WILLEMAIN"
0.821608464864524,0.814124344080278,30711257.795321,0.78,"WILLEMAIN"
0.832465015860208,0.825177920542837,31525197.2957055,0.79,"WILLEMAIN"
0.84295177230124,0.835910028338699,32362589.3128887,0.8,"WILLEMAIN"
0.853632924524811,0.84680287046791,33250024.7855711,0.81,"WILLEMAIN"
0.863826334369218,0.857249365717592,34173283.4655737,0.82,"WILLEMAIN"
0.874031883267034,0.867720589326251,35144508.0262668,0.83,"WILLEMAIN"
0.884200942768796,0.878201704278501,36180794.5689451,0.84,"WILLEMAIN"
0.894153716367827,0.88842935355124,37284800.5646107,0.85,"WILLEMAIN"
0.903896410399658,0.89849626849063,38442418.4174425,0.86,"WILLEMAIN"
0.913360745148736,0.908291171481278,39698473.0414316,0.87,"WILLEMAIN"
0.922719586301305,0.917980978946275,41043997.0856923,0.88,"WILLEMAIN"
0.931689213323563,0.927315934459957,42495112.2216893,0.89,"WILLEMAIN"
0.940530920625682,0.936533430268501,44092326.9177058,0.9,"WILLEMAIN"
0.949010260655122,0.945420802484706,45838585.8823947,0.91,"WILLEMAIN"
0.957073235724805,0.953901393195745,47797807.1391863,0.92,"WILLEMAIN"
0.964725835874564,0.961969020311874,49991940.4049874,0.93,"WILLEMAIN"
0.971948563726675,0.969629865922838,52515641.8341019,0.94,"WILLEMAIN"
0.978503090733091,0.97664653778246,55443017.8320245,0.95,"WILLEMAIN"
0.984123235344064,0.982688912298402,58802295.0500385,0.96,"WILLEMAIN"
0.98823781118599,0.987141253332146,62435521.4749016,0.97,"WILLEMAIN"
0.990513511577757,0.989632635499043,65786795.0125158,0.98,"WILLEMAIN"
0.991151580723222,0.990338630147826,67951978.1431538,0.99,"WILLEMAIN"
