"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.759852696125736,0.75303184245228,37866289.3745274,0.75,"SBA"
0.770025487234287,0.763264085547317,38753616.9884535,0.76,"SBA"
0.779795142960067,0.773163060161266,39650425.0448589,0.77,"SBA"
0.790032129962991,0.783539419356233,40619489.6054925,0.78,"SBA"
0.800186897571587,0.793827507439994,41612721.3020602,0.79,"SBA"
0.81013231739095,0.803888612666364,42642815.8975841,0.8,"SBA"
0.820213556881236,0.814119054310152,43733120.7415039,0.81,"SBA"
0.830341864072048,0.824418851827032,44881552.4265447,0.82,"SBA"
0.840357106096581,0.834615065897087,46069341.5750244,0.83,"SBA"
0.850256738601041,0.844696887812822,47325745.638797,0.84,"SBA"
0.860210222634033,0.854857072857894,48670763.0697054,0.85,"SBA"
0.870195961230564,0.865045180397328,50090699.9487296,0.86,"SBA"
0.880025998450318,0.875105384898074,51600510.2004001,0.87,"SBA"
0.889950111381947,0.885260165589399,53231999.8798274,0.88,"SBA"
0.899732839419112,0.895294249047032,54980981.2955423,0.89,"SBA"
0.909571877815918,0.905421107243996,56911804.4590633,0.9,"SBA"
0.919131782021917,0.915240818002983,59001040.324969,0.91,"SBA"
0.928923802561785,0.925368576925571,61350094.4338979,0.92,"SBA"
0.938352191827347,0.935107222378348,63961244.7369287,0.93,"SBA"
0.947815008018958,0.944923330234837,66978624.9504746,0.94,"SBA"
0.957165828503314,0.954643060449498,70508445.6474657,0.95,"SBA"
0.966288822245953,0.964170936106127,74787762.4730077,0.96,"SBA"
0.975207928422296,0.973539383327208,80231062.0361586,0.97,"SBA"
0.983674149059992,0.982478184425373,87689009.3798419,0.98,"SBA"
0.990479464546664,0.989730827154356,97866382.4686349,0.99,"SBA"
