"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.768588642534536,0.760631957942007,27285917.984625,0.75,"EN-2"
0.781137903773887,0.773285459230355,28051646.0536981,0.76,"EN-2"
0.793473708496955,0.78573989722894,28834690.9744476,0.77,"EN-2"
0.805620156521658,0.798134987165982,29663379.3376478,0.78,"EN-2"
0.8176157878035,0.810322358887619,30515494.877863,0.79,"EN-2"
0.82971889956374,0.822627190314396,31419642.3148706,0.8,"EN-2"
0.841708059021471,0.83486154591809,32369653.3717285,0.81,"EN-2"
0.853681212410319,0.847098374357681,33379788.0155384,0.82,"EN-2"
0.865090480363026,0.858771396212605,34421291.7185446,0.83,"EN-2"
0.876663234448468,0.870653372700881,35547828.9016273,0.84,"EN-2"
0.888066160455838,0.882391924707093,36745554.3167381,0.85,"EN-2"
0.898874499474711,0.89347888445427,38012496.6736865,0.86,"EN-2"
0.909719183719062,0.904695668086074,39385502.754045,0.87,"EN-2"
0.920177644179175,0.915505670212713,40869731.9366748,0.88,"EN-2"
0.930251373741484,0.925976893821372,42474753.3172485,0.89,"EN-2"
0.939952434057217,0.936071009955637,44239682.8926959,0.9,"EN-2"
0.949284920897125,0.945813983392434,46176740.801874,0.91,"EN-2"
0.958040989775116,0.955005514424052,48358901.0120629,0.92,"EN-2"
0.966268946653614,0.963664149319723,50821954.5222592,0.93,"EN-2"
0.973751547814687,0.971605661805071,53640789.5428916,0.94,"EN-2"
0.98037917581792,0.978685390980084,56871134.406705,0.95,"EN-2"
0.985680520842805,0.984392696231893,60464762.7476858,0.96,"EN-2"
0.989211648405115,0.988215700529681,64012157.0364357,0.97,"EN-2"
0.990825737728312,0.989980068942665,66841322.8470167,0.98,"EN-2"
0.991182083631508,0.990373249850393,68244808.9925499,0.99,"EN-2"
