"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.776926192987704,0.756793780365317,37984624.2402809,0.75,"EN-1"
0.786974145960138,0.76724417739862,39183303.2768088,0.76,"EN-1"
0.797039664359134,0.777713742438222,40429730.8215966,0.77,"EN-1"
0.806935541790064,0.788050409300828,41743187.1305722,0.78,"EN-1"
0.816756343793128,0.798324460676196,43128059.0238086,0.79,"EN-1"
0.826796158353039,0.808870697740987,44577772.8626859,0.8,"EN-1"
0.836556281690118,0.819133248312577,46108812.1728504,0.81,"EN-1"
0.846243962310388,0.829366407941177,47733613.0044495,0.82,"EN-1"
0.855877353000961,0.839576565962221,49444792.2501739,0.83,"EN-1"
0.865424767841543,0.849727942097287,51277932.8874942,0.84,"EN-1"
0.874966787515978,0.859888263301957,53233923.7756114,0.85,"EN-1"
0.884272323540242,0.86984412577279,55330929.6129986,0.86,"EN-1"
0.893722391892443,0.880004446977461,57593209.4547951,0.87,"EN-1"
0.902875378201992,0.889904083296488,60040143.6206211,0.88,"EN-1"
0.911964700011556,0.899762827868748,62710907.1592252,0.89,"EN-1"
0.920901219706871,0.909550011884164,65658143.9266367,0.9,"EN-1"
0.929626752915614,0.919119958494877,68918971.2300914,0.91,"EN-1"
0.93822315197825,0.928645179757563,72562523.5988625,0.92,"EN-1"
0.946656337319296,0.93801705696987,76676983.2518306,0.93,"EN-1"
0.954881226337993,0.947208754922983,81329639.8289489,0.94,"EN-1"
0.96258978402535,0.955902084712365,86579911.8637632,0.95,"EN-1"
0.969425758637283,0.963665127262783,92303759.9494483,0.96,"EN-1"
0.974753330277992,0.969724772986912,98149065.3305655,0.97,"EN-1"
0.978147134196981,0.973599265993146,103259197.104664,0.98,"EN-1"
0.979374846778897,0.974994696851591,106257471.097897,0.99,"EN-1"
