"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.853501904247353,0.839379774430902,55622988.7159017,0.75,"LSTM"
0.861549720716854,0.847831587340937,57236593.7001212,0.76,"LSTM"
0.86935527717967,0.856136445536027,58920492.793666,0.77,"LSTM"
0.876916994804667,0.864137171364532,60666419.7818559,0.78,"LSTM"
0.884528384443166,0.872222236420745,62494735.9210938,0.79,"LSTM"
0.891801397573029,0.880009558445807,64385865.673271,0.8,"LSTM"
0.899003041199045,0.887689539635603,66362130.39179,0.81,"LSTM"
0.905915155652536,0.895120336743535,68399111.6488792,0.82,"LSTM"
0.912655917545285,0.902335174313849,70508059.1861021,0.83,"LSTM"
0.919168046102715,0.909363443289537,72698399.2636508,0.84,"LSTM"
0.925514828767272,0.916177030594694,74949220.5022225,0.85,"LSTM"
0.931639307381954,0.922804049305224,77278507.522011,0.86,"LSTM"
0.937567728398096,0.929194662604753,79673730.1203814,0.87,"LSTM"
0.94319335042255,0.935304145145255,82144595.9618079,0.88,"LSTM"
0.948507814943472,0.941064769971146,84687310.6587083,0.89,"LSTM"
0.95356663162504,0.946578766449344,87284925.8344221,0.9,"LSTM"
0.95837520553228,0.95184613457985,89946472.9653249,0.91,"LSTM"
0.962814520653805,0.956707140976853,92629464.3138793,0.92,"LSTM"
0.966833854812377,0.961136228298622,95309844.1255724,0.93,"LSTM"
0.970471320535091,0.965128285076813,97934814.8526118,0.94,"LSTM"
0.97361290715286,0.968584915545764,100447226.299183,0.95,"LSTM"
0.976150415467877,0.971389833800607,102745539.239888,0.96,"LSTM"
0.97800391135552,0.973443366208594,104679809.650374,0.97,"LSTM"
0.979041136497434,0.974615170326904,106036906.267273,0.98,"LSTM"
0.979406854007539,0.975031754997099,106701124.505297,0.99,"LSTM"
